name,weight,price,crawllink,link,details,id,imgUrl
Абрикосовое масло,,,http://health-diet.ru/base_of_food/sostav/21.php,,"{""Калорийность Ккал"": ""899,1"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,9"", ""Углеводы гр."": ""0"", ""Продукт"": ""Абрикосовое масло"", ""top_cat"": ""Жиры растителные и животные""}",21,
Вода,,,http://health-diet.ru/base_of_food/sostav/59.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Вода"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",59,
Белый гриб,,,http://health-diet.ru/base_of_food/sostav/40.php,,"{""Калорийность Ккал"": ""34"", ""Белки гр."": ""3,7"", ""Жиры гр."": ""1,7"", ""Углеводы гр."": ""1,1"", ""Продукт"": ""Белый гриб"", ""top_cat"": ""Грибы""}",40,
Водка,,,http://health-diet.ru/base_of_food/sostav/13759.php,,"{""Калорийность Ккал"": ""235"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0,4"", ""Продукт"": ""Водка"", ""top_cat"": ""Алкогольные напитки""}",13759,
Коньяк ординарный «три звездочки»,,,http://health-diet.ru/base_of_food/sostav/13758.php,,"{""Калорийность Ккал"": ""239"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""1,5"", ""Продукт"": ""Коньяк ординарный «три звездочки»"", ""top_cat"": ""Алкогольные напитки""}",13758,
Яйцо куриное,,,http://health-diet.ru/base_of_food/sostav/456.php,,"{""Калорийность Ккал"": ""157"", ""Белки гр."": ""12,7"", ""Жиры гр."": ""11,5"", ""Углеводы гр."": ""0,7"", ""Продукт"": ""Яйцо куриное"", ""top_cat"": ""Яйца и продукты из них""}",456,
Яйцо куриное вареное (вкрутую),,,http://health-diet.ru/base_of_food/sostav/21261.php,,"{""Калорийность Ккал"": ""158,7"", ""Белки гр."": ""12,828"", ""Жиры гр."": ""11,616"", ""Углеводы гр."": ""0,707"", ""Продукт"": ""Яйцо куриное вареное (вкрутую)"", ""top_cat"": ""Яйца и продукты из них""}",21261,
Яйцо куриное вареное всмятку,,,http://health-diet.ru/base_of_food/sostav/21268.php,,"{""Калорийность Ккал"": ""158,7"", ""Белки гр."": ""12,828"", ""Жиры гр."": ""11,616"", ""Углеводы гр."": ""0,707"", ""Продукт"": ""Яйцо куриное вареное всмятку"", ""top_cat"": ""Яйца и продукты из них""}",21268,
"Яйцо куриное жареное (яичница, без масла)",,,http://health-diet.ru/base_of_food/sostav/21262.php,,"{""Калорийность Ккал"": ""174,6"", ""Белки гр."": ""14,598"", ""Жиры гр."": ""12,557"", ""Углеводы гр."": ""0,805"", ""Продукт"": ""Яйцо куриное жареное (яичница, без масла)"", ""top_cat"": ""Яйца и продукты из них""}",21262,
Яйцо перепелиное,,,http://health-diet.ru/base_of_food/sostav/457.php,,"{""Калорийность Ккал"": ""168"", ""Белки гр."": ""11,9"", ""Жиры гр."": ""13,1"", ""Углеводы гр."": ""0,6"", ""Продукт"": ""Яйцо перепелиное"", ""top_cat"": ""Яйца и продукты из них""}",457,
Яичный белок куриный,,,http://health-diet.ru/base_of_food/sostav/39.php,,"{""Калорийность Ккал"": ""44,4"", ""Белки гр."": ""11,1"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Яичный белок куриный"", ""top_cat"": ""Яйца и продукты из них""}",39,
Баранки сдобные,,,http://health-diet.ru/base_of_food/sostav/1363.php,,"{""Калорийность Ккал"": ""348"", ""Белки гр."": ""8,3"", ""Жиры гр."": ""8"", ""Углеводы гр."": ""60,4"", ""Продукт"": ""Баранки сдобные"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1363,
Батон нарезной,,,http://health-diet.ru/base_of_food/sostav/1349.php,,"{""Калорийность Ккал"": ""262"", ""Белки гр."": ""7,5"", ""Жиры гр."": ""2,9"", ""Углеводы гр."": ""51,4"", ""Продукт"": ""Батон нарезной"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1349,
Бублики простые,,,http://health-diet.ru/base_of_food/sostav/1361.php,,"{""Калорийность Ккал"": ""276"", ""Белки гр."": ""9,1"", ""Жиры гр."": ""1,1"", ""Углеводы гр."": ""57,1"", ""Продукт"": ""Бублики простые"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1361,
"Бублики, украинские с маком",,,http://health-diet.ru/base_of_food/sostav/1362.php,,"{""Калорийность Ккал"": ""335,5"", ""Белки гр."": ""16"", ""Жиры гр."": ""1"", ""Углеводы гр."": ""70"", ""Продукт"": ""Бублики, украинские с маком"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1362,
Булка с молочной сывороткой,,,http://health-diet.ru/base_of_food/sostav/1352.php,,"{""Калорийность Ккал"": ""335,5"", ""Белки гр."": ""16"", ""Жиры гр."": ""1"", ""Углеводы гр."": ""70"", ""Продукт"": ""Булка с молочной сывороткой"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1352,
Булка черкизовская,,,http://health-diet.ru/base_of_food/sostav/1351.php,,"{""Калорийность Ккал"": ""335,5"", ""Белки гр."": ""16"", ""Жиры гр."": ""1"", ""Углеводы гр."": ""70"", ""Продукт"": ""Булка черкизовская"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1351,
Булка ярославская,,,http://health-diet.ru/base_of_food/sostav/1354.php,,"{""Калорийность Ккал"": ""294"", ""Белки гр."": ""7,6"", ""Жиры гр."": ""5,3"", ""Углеводы гр."": ""53,7"", ""Продукт"": ""Булка ярославская"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1354,
