name,weight,price,crawllink,link,details,id,imgUrl
"Кукуруза, высоколизиновая",,,http://health-diet.ru/base_of_food/sostav/757.php,,"{""Калорийность Ккал"": ""314"", ""Белки гр."": ""11,2"", ""Жиры гр."": ""4,8"", ""Углеводы гр."": ""55,33"", ""sub_cat"": ""Зерновые"", ""Продукт"": ""Кукуруза, высоколизиновая"", ""top_cat"": ""Крупы, злаки и зернобобовые""}",757,
"Кукуруза, зерно продовольственное",,,http://health-diet.ru/base_of_food/sostav/162.php,,"{""Калорийность Ккал"": ""325"", ""Белки гр."": ""10,3"", ""Жиры гр."": ""4,9"", ""Углеводы гр."": ""60"", ""sub_cat"": ""Зерновые"", ""Продукт"": ""Кукуруза, зерно продовольственное"", ""top_cat"": ""Крупы, злаки и зернобобовые""}",162,
Глазурь жировая,,,http://health-diet.ru/base_of_food/sostav/13710.php,,"{""Калорийность Ккал"": ""547"", ""Белки гр."": ""3,9"", ""Жиры гр."": ""37,2"", ""Углеводы гр."": ""48,9"", ""Продукт"": ""Глазурь жировая"", ""top_cat"": ""Кондитерские изделия""}",13710,
Глазурь шоколадная,,,http://health-diet.ru/base_of_food/sostav/13711.php,,"{""Калорийность Ккал"": ""542"", ""Белки гр."": ""4,9"", ""Жиры гр."": ""34,5"", ""Углеводы гр."": ""52,5"", ""Продукт"": ""Глазурь шоколадная"", ""top_cat"": ""Кондитерские изделия""}",13711,
Драже,,,http://health-diet.ru/base_of_food/sostav/916.php,,"{""Калорийность Ккал"": ""516,3"", ""Белки гр."": ""10"", ""Жиры гр."": ""35"", ""Углеводы гр."": ""43"", ""Продукт"": ""Драже"", ""top_cat"": ""Кондитерские изделия""}",916,
Драже сахарное,,,http://health-diet.ru/base_of_food/sostav/933.php,,"{""Калорийность Ккал"": ""393"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""97,7"", ""Продукт"": ""Драже сахарное"", ""top_cat"": ""Кондитерские изделия""}",933,
"Драже, ореховое",,,http://health-diet.ru/base_of_food/sostav/932.php,,"{""Калорийность Ккал"": ""547,5"", ""Белки гр."": ""11,9"", ""Жиры гр."": ""38,3"", ""Углеводы гр."": ""41,4"", ""Продукт"": ""Драже, ореховое"", ""top_cat"": ""Кондитерские изделия""}",932,
"Драже, фруктово-ягодное",,,http://health-diet.ru/base_of_food/sostav/934.php,,"{""Калорийность Ккал"": ""384,1"", ""Белки гр."": ""3,7"", ""Жиры гр."": ""10,2"", ""Углеводы гр."": ""74"", ""Продукт"": ""Драже, фруктово-ягодное"", ""top_cat"": ""Кондитерские изделия""}",934,
Желатин пищевой,,,http://health-diet.ru/base_of_food/sostav/91.php,,"{""Калорийность Ккал"": ""355"", ""Белки гр."": ""87,2"", ""Жиры гр."": ""0,4"", ""Углеводы гр."": ""0,7"", ""Продукт"": ""Желатин пищевой"", ""top_cat"": ""Кондитерские изделия""}",91,
Жир кондитерский для шоколадных изделий,,,http://health-diet.ru/base_of_food/sostav/13646.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кондитерский для шоколадных изделий"", ""top_cat"": ""Кондитерские изделия""}",13646,
Жир кулинарный,,,http://health-diet.ru/base_of_food/sostav/499.php,,"{""Калорийность Ккал"": ""897,3"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный"", ""top_cat"": ""Жиры растителные и животные""}",499,
Жир кулинарный «Белорусский»,,,http://health-diet.ru/base_of_food/sostav/800.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный «Белорусский»"", ""top_cat"": ""Жиры растителные и животные""}",800,
Жир кулинарный «Восточный»,,,http://health-diet.ru/base_of_food/sostav/801.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный «Восточный»"", ""top_cat"": ""Жиры растителные и животные""}",801,
Жир кулинарный «Новинка»,,,http://health-diet.ru/base_of_food/sostav/802.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный «Новинка»"", ""top_cat"": ""Жиры растителные и животные""}",802,
Жир кулинарный «Украинский»,,,http://health-diet.ru/base_of_food/sostav/799.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный «Украинский»"", ""top_cat"": ""Жиры растителные и животные""}",799,
"Жир кулинарный, ""прима""",,,http://health-diet.ru/base_of_food/sostav/803.php,,"{""Калорийность Ккал"": ""897,3"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир кулинарный, \""прима\"""", ""top_cat"": ""Жиры растителные и животные""}",803,
Жир куриный,,,http://health-diet.ru/base_of_food/sostav/604.php,,"{""Калорийность Ккал"": ""897"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,7"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир куриный"", ""top_cat"": ""Жиры растителные и животные""}",604,
Жир растительный,,,http://health-diet.ru/base_of_food/sostav/1463.php,,"{""Калорийность Ккал"": ""898,2"", ""Белки гр."": ""0"", ""Жиры гр."": ""99,8"", ""Углеводы гр."": ""0"", ""Продукт"": ""Жир растительный"", ""top_cat"": ""Жиры растителные и животные""}",1463,
Напитки газированные на цитрусовых настоях,,,http://health-diet.ru/base_of_food/sostav/13743.php,,"{""Калорийность Ккал"": ""33"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""7,5"", ""Продукт"": ""Напитки газированные на цитрусовых настоях"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13743,
"Напитки газированные на эссенциях («Кока-кола», «Пепси-кола»,",,,http://health-diet.ru/base_of_food/sostav/13745.php,,"{""Калорийность Ккал"": ""38"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""8,7"", ""Продукт"": ""Напитки газированные на эссенциях («Кока-кола», «Пепси-кола»,"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13745,
Чай заваренный с лимоном,,,http://health-diet.ru/base_of_food/sostav/13595.php,,"{""Калорийность Ккал"": ""28"", ""Белки гр."": ""0,1"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""6,8"", ""Продукт"": ""Чай заваренный с лимоном"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13595,
Чай заваренный с молоком,,,http://health-diet.ru/base_of_food/sostav/13596.php,,"{""Калорийность Ккал"": ""43"", ""Белки гр."": ""0,7"", ""Жиры гр."": ""0,8"", ""Углеводы гр."": ""8,2"", ""Продукт"": ""Чай заваренный с молоком"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13596,
Чай заваренный с сахаром,,,http://health-diet.ru/base_of_food/sostav/13594.php,,"{""Калорийность Ккал"": ""28"", ""Белки гр."": ""0,1"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""7"", ""Продукт"": ""Чай заваренный с сахаром"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13594,
Яблочно морковный напиток. Консервы,,,http://health-diet.ru/base_of_food/sostav/13734.php,,"{""Калорийность Ккал"": ""68"", ""Белки гр."": ""0,3"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""15,5"", ""Продукт"": ""Яблочно морковный напиток. Консервы"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13734,
Яблочно-абрикосовый напиток. Консервы,,,http://health-diet.ru/base_of_food/sostav/13733.php,,"{""Калорийность Ккал"": ""58"", ""Белки гр."": ""0,2"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""14"", ""Продукт"": ""Яблочно-абрикосовый напиток. Консервы"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13733,
Яблочно-виноградный напиток,,,http://health-diet.ru/base_of_food/sostav/13732.php,,"{""Калорийность Ккал"": ""52"", ""Белки гр."": ""0,3"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""12,3"", ""Продукт"": ""Яблочно-виноградный напиток"", ""top_cat"": ""Вода, соки и безалкогольные напитки""}",13732,
Опята,,,http://health-diet.ru/base_of_food/sostav/250.php,,"{""Калорийность Ккал"": ""22"", ""Белки гр."": ""2,2"", ""Жиры гр."": ""1,2"", ""Углеводы гр."": ""0,5"", ""Продукт"": ""Опята"", ""top_cat"": ""Грибы""}",250,
Подберезовик сушеный,,,http://health-diet.ru/base_of_food/sostav/279.php,,"{""Калорийность Ккал"": ""318,3"", ""Белки гр."": ""24"", ""Жиры гр."": ""9,2"", ""Углеводы гр."": ""37,2"", ""Продукт"": ""Подберезовик сушеный"", ""top_cat"": ""Грибы""}",279,
Подберезовики,,,http://health-diet.ru/base_of_food/sostav/278.php,,"{""Калорийность Ккал"": ""20"", ""Белки гр."": ""2,1"", ""Жиры гр."": ""0,8"", ""Углеводы гр."": ""1,2"", ""Продукт"": ""Подберезовики"", ""top_cat"": ""Грибы""}",278,
Подосиновик сушеный,,,http://health-diet.ru/base_of_food/sostav/281.php,,"{""Калорийность Ккал"": ""314,7"", ""Белки гр."": ""35,4"", ""Жиры гр."": ""5,4"", ""Углеводы гр."": ""33,2"", ""Продукт"": ""Подосиновик сушеный"", ""top_cat"": ""Грибы""}",281,
Подосиновики,,,http://health-diet.ru/base_of_food/sostav/280.php,,"{""Калорийность Ккал"": ""22"", ""Белки гр."": ""3,3"", ""Жиры гр."": ""0,5"", ""Углеводы гр."": ""1,2"", ""Продукт"": ""Подосиновики"", ""top_cat"": ""Грибы""}",280,
Рыжик,,,http://health-diet.ru/base_of_food/sostav/311.php,,"{""Калорийность Ккал"": ""22,3"", ""Белки гр."": ""1,9"", ""Жиры гр."": ""0,8"", ""Углеводы гр."": ""2"", ""Продукт"": ""Рыжик"", ""top_cat"": ""Грибы""}",311,
Сморчок,,,http://health-diet.ru/base_of_food/sostav/355.php,,"{""Калорийность Ккал"": ""22,7"", ""Белки гр."": ""2,9"", ""Жиры гр."": ""0,4"", ""Углеводы гр."": ""2"", ""Продукт"": ""Сморчок"", ""top_cat"": ""Грибы""}",355,
Сыроежки,,,http://health-diet.ru/base_of_food/sostav/387.php,,"{""Калорийность Ккал"": ""19"", ""Белки гр."": ""1,7"", ""Жиры гр."": ""0,7"", ""Углеводы гр."": ""1,5"", ""Продукт"": ""Сыроежки"", ""top_cat"": ""Грибы""}",387,
Пластинки из цельно-молотой пшеницы,,,http://health-diet.ru/base_of_food/sostav/13661.php,,"{""Калорийность Ккал"": ""342"", ""Белки гр."": ""12,7"", ""Жиры гр."": ""2,4"", ""Углеводы гр."": ""67,3"", ""Продукт"": ""Пластинки из цельно-молотой пшеницы"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",13661,
Рожки к чаю,,,http://health-diet.ru/base_of_food/sostav/13652.php,,"{""Калорийность Ккал"": ""312"", ""Белки гр."": ""8,4"", ""Жиры гр."": ""5,6"", ""Углеводы гр."": ""56,8"", ""Продукт"": ""Рожки к чаю"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",13652,
Сдоба обыкновенная,,,http://health-diet.ru/base_of_food/sostav/1346.php,,"{""Калорийность Ккал"": ""301"", ""Белки гр."": ""8,1"", ""Жиры гр."": ""5,3"", ""Углеводы гр."": ""54,9"", ""Продукт"": ""Сдоба обыкновенная"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1346,
Соломка сладкая,,,http://health-diet.ru/base_of_food/sostav/13656.php,,"{""Калорийность Ккал"": ""372"", ""Белки гр."": ""9,1"", ""Жиры гр."": ""6,1"", ""Углеводы гр."": ""69,3"", ""Продукт"": ""Соломка сладкая"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",13656,
Сухари армейские из обойной муки,,,http://health-diet.ru/base_of_food/sostav/1355.php,,"{""Калорийность Ккал"": ""304"", ""Белки гр."": ""12,3"", ""Жиры гр."": ""2,3"", ""Углеводы гр."": ""60,1"", ""Продукт"": ""Сухари армейские из обойной муки"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1355,
"Сухари армейские, пшеничные 1 сорта",,,http://health-diet.ru/base_of_food/sostav/1358.php,,"{""Калорийность Ккал"": ""330"", ""Белки гр."": ""11,2"", ""Жиры гр."": ""1,4"", ""Углеводы гр."": ""67,5"", ""Продукт"": ""Сухари армейские, пшеничные 1 сорта"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1358,
"Сухари армейские, пшеничные 2 сорта",,,http://health-diet.ru/base_of_food/sostav/1359.php,,"{""Калорийность Ккал"": ""323"", ""Белки гр."": ""12,3"", ""Жиры гр."": ""1,9"", ""Углеводы гр."": ""63,5"", ""Продукт"": ""Сухари армейские, пшеничные 2 сорта"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1359,
"Сухари армейские, ржаные",,,http://health-diet.ru/base_of_food/sostav/1357.php,,"{""Калорийность Ккал"": ""294"", ""Белки гр."": ""11,3"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""56,4"", ""Продукт"": ""Сухари армейские, ржаные"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",1357,
Дыня,,,http://health-diet.ru/base_of_food/sostav/88.php,,"{""Калорийность Ккал"": ""35"", ""Белки гр."": ""0,6"", ""Жиры гр."": ""0,3"", ""Углеводы гр."": ""7,4"", ""Продукт"": ""Дыня"", ""top_cat"": ""Фрукты и ягоды""}",88,
Изюм,,,http://health-diet.ru/base_of_food/sostav/102.php,,"{""Калорийность Ккал"": ""264,1"", ""Белки гр."": ""2,9"", ""Жиры гр."": ""0,6"", ""Углеводы гр."": ""66"", ""Продукт"": ""Изюм"", ""top_cat"": ""Фрукты и ягоды""}",102,
Инжир,,,http://health-diet.ru/base_of_food/sostav/112.php,,"{""Калорийность Ккал"": ""54"", ""Белки гр."": ""0,7"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""12"", ""Продукт"": ""Инжир"", ""top_cat"": ""Фрукты и ягоды""}",112,
Инжир сушеный,,,http://health-diet.ru/base_of_food/sostav/1392.php,,"{""Калорийность Ккал"": ""257"", ""Белки гр."": ""3,1"", ""Жиры гр."": ""0,8"", ""Углеводы гр."": ""57,9"", ""Продукт"": ""Инжир сушеный"", ""top_cat"": ""Фрукты и ягоды""}",1392,
Ирга,,,http://health-diet.ru/base_of_food/sostav/113.php,,"{""Калорийность Ккал"": ""45"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""12"", ""Продукт"": ""Ирга"", ""top_cat"": ""Фрукты и ягоды""}",113,
Калина,,,http://health-diet.ru/base_of_food/sostav/119.php,,"{""Калорийность Ккал"": ""26,3"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""7"", ""Продукт"": ""Калина"", ""top_cat"": ""Фрукты и ягоды""}",119,
Киви,,,http://health-diet.ru/base_of_food/sostav/1393.php,,"{""Калорийность Ккал"": ""47"", ""Белки гр."": ""0,8"", ""Жиры гр."": ""0,4"", ""Углеводы гр."": ""8,1"", ""Продукт"": ""Киви"", ""top_cat"": ""Фрукты и ягоды""}",1393,
Кишмиш,,,http://health-diet.ru/base_of_food/sostav/140.php,,"{""Калорийность Ккал"": ""37,5"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""10"", ""Продукт"": ""Кишмиш"", ""top_cat"": ""Фрукты и ягоды""}",140,
Пищевая сода,,,http://health-diet.ru/base_of_food/sostav/21234.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Пищевая сода"", ""top_cat"": ""Специи, приправы и соусы""}",21234,
Рассол соли,,,http://health-diet.ru/base_of_food/sostav/1391.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Рассол соли"", ""top_cat"": ""Специи, приправы и соусы""}",1391,
Сметанно-чесночная приправа,,,http://health-diet.ru/base_of_food/sostav/508.php,,"{""Калорийность Ккал"": ""204,3"", ""Белки гр."": ""2,3"", ""Жиры гр."": ""20,6"", ""Углеводы гр."": ""2,6"", ""Продукт"": ""Сметанно-чесночная приправа"", ""top_cat"": ""Специи, приправы и соусы""}",508,
Соевый соус,,,http://health-diet.ru/base_of_food/sostav/21211.php,,"{""Калорийность Ккал"": ""50,66"", ""Белки гр."": ""6"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""6,66"", ""Продукт"": ""Соевый соус"", ""top_cat"": ""Специи, приправы и соусы""}",21211,
Соль поваренная пищевая,,,http://health-diet.ru/base_of_food/sostav/373.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Соль поваренная пищевая"", ""top_cat"": ""Специи, приправы и соусы""}",373,
Соус ткемали,,,http://health-diet.ru/base_of_food/sostav/510.php,,"{""Калорийность Ккал"": ""417,5"", ""Белки гр."": ""5"", ""Жиры гр."": ""40"", ""Углеводы гр."": ""10"", ""Продукт"": ""Соус ткемали"", ""top_cat"": ""Специи, приправы и соусы""}",510,
Соус томатный острый,,,http://health-diet.ru/base_of_food/sostav/484.php,,"{""Калорийность Ккал"": ""99"", ""Белки гр."": ""2,5"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""21,2"", ""Продукт"": ""Соус томатный острый"", ""top_cat"": ""Специи, приправы и соусы""}",484,
Соус Южный,,,http://health-diet.ru/base_of_food/sostav/464.php,,"{""Калорийность Ккал"": ""417,5"", ""Белки гр."": ""5"", ""Жиры гр."": ""40"", ""Углеводы гр."": ""10"", ""Продукт"": ""Соус Южный"", ""top_cat"": ""Специи, приправы и соусы""}",464,
Икра сазанья пробойная,,,http://health-diet.ru/base_of_food/sostav/1247.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра сазанья пробойная"", ""top_cat"": ""Рыба и морепродукты""}",1247,
Икра севрюги зернистая,,,http://health-diet.ru/base_of_food/sostav/109.php,,"{""Калорийность Ккал"": ""221"", ""Белки гр."": ""28,2"", ""Жиры гр."": ""11,7"", ""Углеводы гр."": ""0,7"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра севрюги зернистая"", ""top_cat"": ""Рыба и морепродукты""}",109,
Икра соленая,,,http://health-diet.ru/base_of_food/sostav/1466.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра соленая"", ""top_cat"": ""Рыба и морепродукты""}",1466,
Икра частиковых рыб свежая,,,http://health-diet.ru/base_of_food/sostav/572.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра частиковых рыб свежая"", ""top_cat"": ""Рыба и морепродукты""}",572,
Килька балтийская пряного посола,,,http://health-diet.ru/base_of_food/sostav/1278.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Пресервы рыбные"", ""Продукт"": ""Килька балтийская пряного посола"", ""top_cat"": ""Рыба и морепродукты""}",1278,
"Килька балтийская пряного посола, весенне-летней заготовки",,,http://health-diet.ru/base_of_food/sostav/1279.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Пресервы рыбные"", ""Продукт"": ""Килька балтийская пряного посола, весенне-летней заготовки"", ""top_cat"": ""Рыба и морепродукты""}",1279,
"Килька балтийская пряного посола, осенней заготовки",,,http://health-diet.ru/base_of_food/sostav/1280.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Пресервы рыбные"", ""Продукт"": ""Килька балтийская пряного посола, осенней заготовки"", ""top_cat"": ""Рыба и морепродукты""}",1280,
Подсолнечник-семя,,,http://health-diet.ru/base_of_food/sostav/282.php,,"{""Калорийность Ккал"": ""601"", ""Белки гр."": ""20,7"", ""Жиры гр."": ""52,9"", ""Углеводы гр."": ""10,5"", ""Продукт"": ""Подсолнечник-семя"", ""top_cat"": ""Орехи и семена""}",282,
Рапс-семя,,,http://health-diet.ru/base_of_food/sostav/297.php,,"{""Калорийность Ккал"": ""544"", ""Белки гр."": ""30,8"", ""Жиры гр."": ""43,6"", ""Углеводы гр."": ""7,2"", ""Продукт"": ""Рапс-семя"", ""top_cat"": ""Орехи и семена""}",297,
Слива-ядро,,,http://health-diet.ru/base_of_food/sostav/347.php,,"{""Калорийность Ккал"": ""475,8"", ""Белки гр."": ""28,5"", ""Жиры гр."": ""40,2"", ""Углеводы гр."": ""0"", ""Продукт"": ""Слива-ядро"", ""top_cat"": ""Орехи и семена""}",347,
Фисташки,,,http://health-diet.ru/base_of_food/sostav/487.php,,"{""Калорийность Ккал"": ""556,3"", ""Белки гр."": ""20"", ""Жиры гр."": ""50"", ""Углеводы гр."": ""7"", ""Продукт"": ""Фисташки"", ""top_cat"": ""Орехи и семена""}",487,
Фундук,,,http://health-diet.ru/base_of_food/sostav/416.php,,"{""Калорийность Ккал"": ""651"", ""Белки гр."": ""15"", ""Жиры гр."": ""61,5"", ""Углеводы гр."": ""9,4"", ""Продукт"": ""Фундук"", ""top_cat"": ""Орехи и семена""}",416,
Хлопчатник-семя,,,http://health-diet.ru/base_of_food/sostav/422.php,,"{""Калорийность Ккал"": ""496,9"", ""Белки гр."": ""34,5"", ""Жиры гр."": ""36,5"", ""Углеводы гр."": ""8,1"", ""Продукт"": ""Хлопчатник-семя"", ""top_cat"": ""Орехи и семена""}",422,
Ядро ореха арахиса жареное,,,http://health-diet.ru/base_of_food/sostav/790.php,,"{""Калорийность Ккал"": ""626"", ""Белки гр."": ""26"", ""Жиры гр."": ""52"", ""Углеводы гр."": ""13,4"", ""Продукт"": ""Ядро ореха арахиса жареное"", ""top_cat"": ""Орехи и семена""}",790,
Ядро ореха миндаля жареное,,,http://health-diet.ru/base_of_food/sostav/13724.php,,"{""Калорийность Ккал"": ""642"", ""Белки гр."": ""22,4"", ""Жиры гр."": ""55,9"", ""Углеводы гр."": ""12,3"", ""Продукт"": ""Ядро ореха миндаля жареное"", ""top_cat"": ""Орехи и семена""}",13724,
Картофель сушеный,,,http://health-diet.ru/base_of_food/sostav/131.php,,"{""Калорийность Ккал"": ""317"", ""Белки гр."": ""6,6"", ""Жиры гр."": ""0,3"", ""Углеводы гр."": ""71,6"", ""Продукт"": ""Картофель сушеный"", ""top_cat"": ""Овощи и зелень""}",131,
Картофельный порошок,,,http://health-diet.ru/base_of_food/sostav/132.php,,"{""Калорийность Ккал"": ""320,8"", ""Белки гр."": ""5,6"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""79,1"", ""Продукт"": ""Картофельный порошок"", ""top_cat"": ""Овощи и зелень""}",132,
Консервы овощные закусочные,,,http://health-diet.ru/base_of_food/sostav/1371.php,,"{""Калорийность Ккал"": ""28,2"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""6"", ""Продукт"": ""Консервы овощные закусочные"", ""top_cat"": ""Овощи и зелень""}",1371,
Консервы овощные натуральные,,,http://health-diet.ru/base_of_food/sostav/1370.php,,"{""Калорийность Ккал"": ""28,2"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""6"", ""Продукт"": ""Консервы овощные натуральные"", ""top_cat"": ""Овощи и зелень""}",1370,
Корнишоны,,,http://health-diet.ru/base_of_food/sostav/716.php,,"{""Калорийность Ккал"": ""28,2"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""6"", ""Продукт"": ""Корнишоны"", ""top_cat"": ""Овощи и зелень""}",716,
Лук репчатый,,,http://health-diet.ru/base_of_food/sostav/186.php,,"{""Калорийность Ккал"": ""41"", ""Белки гр."": ""1,4"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""8,2"", ""Продукт"": ""Лук репчатый"", ""top_cat"": ""Овощи и зелень""}",186,
"Лук репчатый, сушеный",,,http://health-diet.ru/base_of_food/sostav/187.php,,"{""Калорийность Ккал"": ""218,5"", ""Белки гр."": ""8,4"", ""Жиры гр."": ""2,8"", ""Углеводы гр."": ""42,6"", ""Продукт"": ""Лук репчатый, сушеный"", ""top_cat"": ""Овощи и зелень""}",187,
Морковь сушеная,,,http://health-diet.ru/base_of_food/sostav/226.php,,"{""Калорийность Ккал"": ""221,1"", ""Белки гр."": ""7,8"", ""Жиры гр."": ""0,6"", ""Углеводы гр."": ""49,2"", ""Продукт"": ""Морковь сушеная"", ""top_cat"": ""Овощи и зелень""}",226,
"Колбаса вареная, свиная",,,http://health-diet.ru/base_of_food/sostav/866.php,,"{""Калорийность Ккал"": ""277"", ""Белки гр."": ""10,8"", ""Жиры гр."": ""25,8"", ""Углеводы гр."": ""0,5"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная, свиная"", ""top_cat"": ""Мясо, птица и мясные продукты""}",866,
"Колбаса вареная, столовая",,,http://health-diet.ru/base_of_food/sostav/13619.php,,"{""Калорийность Ккал"": ""234"", ""Белки гр."": ""11,1"", ""Жиры гр."": ""20,2"", ""Углеводы гр."": ""1,8"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная, столовая"", ""top_cat"": ""Мясо, птица и мясные продукты""}",13619,
"Колбаса вареная, телячья",,,http://health-diet.ru/base_of_food/sostav/868.php,,"{""Калорийность Ккал"": ""308"", ""Белки гр."": ""13,2"", ""Жиры гр."": ""28,3"", ""Углеводы гр."": ""0,3"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная, телячья"", ""top_cat"": ""Мясо, птица и мясные продукты""}",868,
"Колбаса вареная, чайная",,,http://health-diet.ru/base_of_food/sostav/869.php,,"{""Калорийность Ккал"": ""216"", ""Белки гр."": ""11,7"", ""Жиры гр."": ""18,4"", ""Углеводы гр."": ""1,7"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная, чайная"", ""top_cat"": ""Мясо, птица и мясные продукты""}",869,
Колбаса варено-копченая,,,http://health-diet.ru/base_of_food/sostav/874.php,,"{""Калорийность Ккал"": ""350"", ""Белки гр."": ""20"", ""Жиры гр."": ""30"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса варено-копченая"", ""top_cat"": ""Мясо, птица и мясные продукты""}",874,
Колбаса варено-копченая московская,,,http://health-diet.ru/base_of_food/sostav/13627.php,,"{""Калорийность Ккал"": ""406"", ""Белки гр."": ""19,1"", ""Жиры гр."": ""36,6"", ""Углеводы гр."": ""0,2"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса варено-копченая московская"", ""top_cat"": ""Мясо, птица и мясные продукты""}",13627,
