raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
61246,сыр мастер бутерброда мааздам ломтик,PRESIDENT,True,Лакталис Истра,150г,40%,,Сыр Мастер Бутерброда 40% Мааздам 150г ломтик Президент
242352,пельмени классические,О'КЕЙ,True,"ООО ""Морозко""",1000г,,,Пельмени ОКЕЙ классические 1000г
116938,чай черный байховый цейлонский в конв,О'КЕЙ,True,,25х2г,,пак.,Чай черный ОКЕЙ байховый цейлонский 25х2г пак. в конв.
198492,макароны 25 ракушки рифл,La Molisana,True,United Distributors Inc.,500г,,,Макароны La Molisana 25 Ракушки рифл. 500г
51612,кета кусок г/к,РОК-1,True,,100г,,,Кета кусок г/к. 100г (РОК-1)
241701,шербет из черной смородины замороженный,О'КЕЙ,True,,80г,,,Шербет ОКЕЙ из черной смородины замороженный 80г
55832,филе цыпленка зам,Ярославский Бройлер,True,"ООО ""Ярославский Бройлер"", Россия",кг,,,Филе цыпленка зам. Ярославский Бройлер. кг
60220,кукуруза сладкая,Bonduelle,True,"ООО ""Кубанские консервы""",340г,,ж/б,Кукуруза сладкая Bonduelle 340г ж/б
78676,кетчуп томатный,Слобода,True,"ОАО ""ЭФКО""",350г,,дой-пак,Кетчуп Слобода томатный 350г дой-пак
288014,напиток сильногаз б/а,Sprite,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1.5л,,пэт,Напиток Спрайт сильногаз б/а 1.5л ПЭТ
180819,конфитюр к мясу из мюлузского лука,Heritier,True,Belberry Preserves,180г,,ст/б,Конфитюр к мясу Heritier из Мюлузского лука 180г ст/б
121206,плавленый сырный продукт дружба,PL NoName,True,ИП Емелин Владимир Павлович,70г,,,Плавленый сырный продукт Дружба 70г PL FP
185556,кофе молотый paulig presidentti black,Паулиг,,,250г,,,Кофе молотый Paulig  Presidentti Black 250г
76268,вода мин негаз,Сенежская,True,"ООО ""ФКПЧФ Бобимэкс тм""",0.5л,,пэт,Вода Сенежская мин.негаз.0.5л ПЭТ
243590,кетчуп острый,МАКА,,"ООО ""ПК ""МАКА""",400г,,пл/б,Кетчуп Острый 400г пл/б
131569,семечки подсолнечника очищенные,На зубок,True,"ООО ""Интелл""",200г,,,Семечки На зубок подсолнечника очищенные 200г
123784,сельдь филе-кус в масле томилинская,Не Бренд,,,180г,,,"Сельдь филе-кус. в масле, 180г Томилинская"
57784,сыр винцер,Emmi,True,Emmi,кг,,,Сыр Винцер кг Emmi
90597,колбаса докторская классическая в/с,КампоМос,True,"ООО""ПИТ-ПРОДУКТ""",300г,,нарезка,Колбаса Докторская Классическая Кампомос в/с нарезка 300г
527048,напиток апельсин сильногаз б/а,Fanta,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1л,,пэт,Напиток Фанта Апельсин сильногаз б/а 1л ПЭТ
46711,цыпленок 2 сорта зам,Птица,,,кг,,,"Цыпленок 2 сорта зам., кг"
207957,приправа французские травы мельница,Kotanyi,True,Kotanyi GmbH,33г,,,Приправа Kotanyi Французские травы 33г мельница
76533,мороженое пломбир ванильный с изюмом брикет п/х,Как раньше,True,"ОАО ""Петрохолод""",220г,,,Мороженое Как раньше пломбир ванильный с изюмом брикет 220г П/х
110685,творог флоупак,Ростагроэкспорт,True,ООО «РостАгроКомплекс»,180г,9%,,Творог Ростагроэкспорт 9% 180г флоупак
130045,зефир с ванильным вкусом,Сладкие истории,True,"ОАО ""Рот Фронт""",250г,,,Зефир Сладкие истории с ванильным вкусом 250г
132884,сливки стерилизованные,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",350г,20%,,Сливки Простоквашино стерилизованные 20% 350г
174981,чай зеленый classic green,Lipton,True,ООО «Юнилевер Русь»,,,25пак,Чай зеленый Lipton Classic Green 25пак
180827,фруктовый джем к сырам инжир и черн перец,Royal Selection Belberri,True,Belberry Preserves,130г,,ст/б,Фруктовый джем к сырам Belberry Инжир и Черн. перец 130г ст/б
109715,огурцы люкс,STANDARD,,,450г,,,Огурцы Люкс 450г
299244,напиток стер сыворот-мол neo м/фрукт,Мажитель,True,"ОАО ""Вимм-Билль-Данн""",250мл,0.05%,,Напиток стер сыворот-мол Мажитель NEO 0.05% 250мл М/фрукт
120619,продукт плавл с сыром дружба континентов,Омский завод плавленых сыров,,ООО Ястро,70г,,,Продукт плавл. с сыром Дружба континентов  70г
73227,персики половинки,Vitaland,True,"Dalian Xinggang Tinned Food Co., Ltd.",720мл,,ст/б,Персики половинки 720мл ст/б Виталэнд
515606,напиток чай зеленый цитрус негаз б/а,Nestea,True,"ООО ""Кока-Кола Эйчбиси Евраазия""",1.75л,,пэт,Напиток Nestea чай зеленый цитрус негаз б/а 1.75л ПЭТ
170925,горчица французская стекло,Heinz,True,De Marne's fabrieken BV,180 г,,,"Горчица Французская ""Хайнц"" стекло 180 г"
200387,оливки с/к,Iberica,True,«Olive Line» S. L.,300г,,ж/б,Оливки с/к Иберика 300г ж/б
197010,сыр моцарелла мини,Galbani,True,"ОАО ""Ефремовский маслосыродельный комбинат""",150г,,,Сыр Моцарелла Гальбани Мини  150г
50117,сердце свиное зам,Не Бренд,True,,кг,,в/у,"Сердце свиное зам. в/у Максума, кг"
200559,маслины б/к,Sol Negro,True,Juan Gonzalez Martin,480г,,ж/б,Маслины б/к Sol Negro 480г ж/б
199910,оливки зеленые без рассола с базиликом,ITLV,True,Aceitunas Guadalquivir,70г,,д/пак,Оливки зеленые ITLV без рассола с базиликом 70г д/пак
592385,сок яблоко,Золотая Русь,True,"ОАО ""Сады Придонья"", Россия",0.2л,,ст/б,Сок Золотая Русь яблоко 0.2л ст/б
241998,крупа рис краснодарский,PROSTO,True,"ООО ""Компания ""Ангстрем Трейдинг""","8х62,5г",,,"Крупа Рис Краснодарский 8х62,5г PROSTO"
109036,сметана,Снеда,True,"ООО ""Молочное дело - Ивня""",200г,10%,стакан,Сметана Снеда 10% 200г стакан
104866,приправа для шашлыка,Добрый гном,True,"ООО ""КАРЕ""",20г,,,Приправа Добрый гном для шашлыка 20г
361600,напиток драйв ми энергетический б/а газ,Drive Me,,"ООО ""ПепсиКо Холдингс""",0.5л,,ж/б,Напиток Драйв Ми энергетический б/а газ 0.5л ж/б
90265,хлопья овсяные геркулес традиц,Русский продукт,True,"ОАО ""Русский продукт""",420г,,,Хлопья овсяные Геркулес традиц. 420г Русский продукт
408880,приправа лимонная lemon fresh конц,Citrano,True,"ООО ""Олимпик Фудс""",100мл,,пл/б,Приправа лимонная Citrano Lemon Fresh конц. 100мл пл/б
162138,кофе растворимый колумбия меделин стекло,Jardin,True,"ООО ""НЕП"", Россия",95г,,,Кофе растворимый Жардин Колумбия Меделин 95г стекло
207740,конфитюр вишня низкокалорийный,Darbo,True,A. Darbo AG,220г,,,Конфитюр DARBO Вишня низкокалорийный 220г
244437,мол сост прод каша рисовая абрикос,Сваля,True,"АО ""Пено Жвайгждес""",200г,6%,,Мол.сост.прод. Каша рисовая Сваля 6% 200г абрикос
320012,напиток биттер лемон сильногаз б/а,Schweppes,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1.5л,,пэт,Напиток Швеппс Биттер Лемон сильногаз б/а 1.5л ПЭТ
243440,кефир тп,Крепыш,True,"ООО ""Комбинат детского питания""",0.2кг,3.2%,,Кефир Крепыш 3.2% 0.2кг ТП
108925,мед натуральный таежный темн с кедр орешками,Кедровый Бор,True,"ООО ""ТАЙГА-ПРОДУКТ""",460г,,,Мед натуральный Кедровый Бор Таежный темн.с кедр.орешками 460г
468056,вода мин негаз природ стол,Vittel,True,Nestle Waters Supply,1.5л,,пэт,Вода Vittel мин.негаз.природ.стол.1.5л ПЭТ
312977,сок яблоко,Rich,True,"ЗАО ""Мултон""",1л,,т/пак,Сок Rich яблоко 1л т/пак
48643,сыр сливочный,Белебеевский МК,True,,1кг,,,Сыр Сливочный  1кг Белебей
95576,форель филе-кусок подкопч,Русское море,True,"ЗАО ""Русское море""",300г,,в/у,Форель Русское море филе-кусок подкопч 300г в/у
603753,малина,Морозко Green,True,ООО Фзп,300г,,,Малина Морозко Green 300г
205623,грибной суп с сухариками,Knorr,True,ООО «Юнилевер Русь»,15г,,,Чашка супа Knorr Грибной суп с сухариками 15г
186803,сухарики плюс 5 цельных злаков,Finn Crisp,True,"АО ""Ваасан""",190г,,,Сухарики Финн Крисп плюс 5 цельных злаков 190г
339759,вода мин негаз,Сенежская,True,"ООО ""ФКПЧФ Бобимэкс тм""",1.5л,,пэт,Вода Сенежская мин.негаз.1.5л ПЭТ
243460,колбаса п/к краковская,ВЕЛКОМ,True,"ООО ""Мясокомбинат ""Павловская Слобода""",кг,,,Колбаса п/к Краковская ВЕЛКОМ. кг
118086,кефир,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",930г,"3,2%",пэт,"Кефир Простоквашино 3,2% 930г ПЭТ"
117671,вода пит негаз,Фонте Аква Калинов Родник,True,"ООО ""Фонте Аква"" П013248",2л,,пэт,Вода Калинов Родник пит.негаз.2л ПЭТ
103704,спред,Альпийская коровка,True,"ЗАО ""Озерецкий молочный комбинат""",180г,"82,5%",,"Спред Альпийская коровка 82,5% 180г"
95035,чай голден цейлон,Greenfield,True,"ООО ""НЕП"", Россия",,,25пак,Чай Greenfield Голден Цейлон 25пак
199934,быстросуп-пюре куриный с сухар,Gallina Blanca,True,"ЗАО ""Юроп Фудс ГБ""",17г,,,Быстросуп-пюре Gallina Blanca Куриный с сухар. 17г
83400,форель ломтики с/с,О'КЕЙ,True,"ЗАО ""ИТА Северная Компания""",300г,,,Форель ОКЕЙ ломтики с/с 300г
168671,мол сост прод каша рисовая ваниль,Сваля,True,"АО ""Пено Жвайгждес""",200г,6%,,Мол.сост.прод. Каша рисовая Сваля 6% 200г ваниль
106643,кофе растворимый,Jacobs,True,"ООО ""Мон'дэлис Русь""",95г,,ст/б,Кофе растворимый Якобс Монарх 95г ст/б
113331,свекла маринованная,Валдайский погребок,True,"ЗАО ""Валдай""",500г,,,Свекла Валдайский Погребок маринованная 500г
113993,томатная паста,Green Ray,True,,140 г,,,Томатная паста Грин Рэй 140 г
241572,конфеты ассорти,Merci,True,AUGUST STORCK KG,250г,,,Конфеты Мерси ассорти 250г
243723,чай с мелиссой в конв,О'КЕЙ,True,"ООО ""Мал Ком""",25х2г,,пак.,Чай ОКЕЙ с мелиссой 25х2г пак. в конв.
46705,колбаса вареная два девяносто,Царицыно,True,"ОАО ""Фирменный Торговый Дом Царицыно""",кг,,,Колбаса вареная Два Девяносто Царицыно. кг
181552,сосиски на натуральных сливках,ДЫМОВ,True,"ООО""Дымовское колбасное производство""",550г,,,Сосиски На натуральных сливках ДЫМОВ 550г
178970,котлеты картофельные,ПРОДУКТЫ ОТ ИЛЬИНОЙ,True,,300г,,,Котлеты картофельные 300г От Ильиной
244418,креветки королевские очищенные с хвостиком в рассоле,VICI,True,"ООО ""Вичюнай-Русь""",400г,,пл/б,Креветки VICI королевские очищенные с хвостиком в рассоле 400г пл/б
140190,батончик мюсли яблоко,Nature Valley,True,General Mills,42г,,,Батончик мюсли Nature Valley Яблоко 42г
245203,пастила с кусочками мармелада,Alela,True,"ООО ""Кондитерская фабрика ""Алела""",185г,,,Пастила Алела с кусочками мармелада 185г
242265,горбуша ломтики с/с,Асто,True,"ООО ""АСТО""",150г,,в/у,Горбуша Асто ломтики с/с 150г в/у
245471,кофе растворимый карт нуар,Carte Noire,,"ООО ""Мон'дэлис Русь""",150г,,пакет,Кофе растворимый Карт Нуар 150г пакет
242074,крабовое мясо снежный краб охл,Меридиан,True,"ООО""Меридиан""",200г,,,Крабовое мясо Меридиан снежный краб охл 200г
173876,сахар-рафинад,Чайкофский,True,"ООО ""Русагро-сахар""",500г,,,Сахар-рафинад Чайкофский 500г
178964,котлеты капустные,ПРОДУКТЫ ОТ ИЛЬИНОЙ,True,"ООО ""Айс-Продукт""",300г,,,Котлеты капустные 300г От Ильиной
206696,какао напиток растворимый,MacChoco,True,"ООО ""ФЕС ПРОДУКТ""",235г,,,Какао напиток растворимый MacChoco 235г
114507,филе треск с/м в панировке bondelamar,Не Бренд,,,600г,,,"Филе треск. с/м в панировке, 600г  BonDeLaMar"
149905,свинина лопатка домашняя в маринаде,Не Бренд,True,,кг,,,Свинина лопатка Домашняя в маринаде Мираторг. кг
547479,масло олив ev clasico,Ybarra,True,ACEITES YBARRA,750мл,,,Масло олив. EV Ybarra Clasico 750мл
113330,набор пирожных картошка,Метрополь,True,"ООО ""Север-Метрополь""",320г,,4шт,"Набор пирожных ""Картошка"" Метрополь 4шт 320г"
92234,молоко пастер,Рузское молоко,True,"ОАО ""Рузское молоко""",1кг,"3,2-4,0%",пюр-пак,"Молоко пастер Рузское 3,2-4,0% 1кг пюр-пак"
245094,колбаса вареная барская,ДЫМОВ,True,"ООО""Дымовское колбасное производство""",400г,,,Колбаса вареная Барская ДЫМОВ 400г
243588,колбаса чоризо с/к,О'КЕЙ,True,"ЗАО ""Микояновский мясокомбинат""",400г,,,Колбаса ОКЕЙ ЧОРИЗО с/к 400г
51098,колбаса вареная сливочная б/о,Останкино,True,"ОАО ""ОМПК""",кг,,,Колбаса вареная Сливочная Останкино б/о. кг
107337,ванилин,О'КЕЙ,True,"ООО ""АЙДИГО""",3г,,,Ванилин ОКЕЙ 3г
51985,свинина охл корейка для запекания,Самсон,True,"ООО ""Мясокомбинат ""Всеволожский"", Россия",кг,,,Свинина охл. корейка для запекания Самсон. кг
138838,соус томатный шашлычный fp,МАКА,,"ООО ""ПК ""МАКА""",260г,,ст/б,Соус томатный Шашлычный 260г ст/б FP
68589,уксус итальян ориг бальзам светл,Kuhne,True,Carl Kuhne KG (GmbH & Co),250мл,5%,ст/б,Уксус Kuhne 5% итальян.ориг.бальзам.светл. 250мл ст/б
531659,сок яблоко осв,Добрый,True,"ЗАО ""Мултон""",1л,,т/пак,Сок Добрый яблоко осв. 1л т/пак
416586,ананас ломтиками в сиропе,Baleno,True,"Eurovision Thai Co., Ltd",580мл,,,Ананас ломтиками Baleno в сиропе 580мл
107729,кекс василеостровский творожн,Хлебный дом,True,"ОАО ""Фацер""",400г,,,Кекс Василеостровский творожн. 400г Хлебный Дом
180716,килька балтийская в т/с,Морской Котик,True,"ООО ""Калининградский Рыбоконсервный завод""",250г,,,Килька балтийская Морской Котик в т/с 250г
191187,сайра в масле,Штурвал,True,"DONGSHAN DONGYI FOOD CO, LTD",185г,,,Сайра в масле Штурвал 185г
47117,колбаса вареная русская в/с,Царицыно,True,"ОАО ""Фирменный Торговый Дом Царицыно""",кг,,,Колбаса вареная Русская в/с Царицыно. кг
162262,хлеб рижский в нарезке,Настюша,True,"ОАО ""Сергиево-Посадский хлебокомбинат""",250г,,,Хлеб Рижский Настюша в нарезке 250г
245157,приправа для шашлыка,Cykoria S.A.,True,Cykoria S.A.,30г,,,Приправа Cykoria S.A. для шашлыка 30г
155830,коктейль орехи сухофрукты,Золотая Жменька,True,"ЗАО ""ОРЕХПРОМ""",250г,,,Коктейль орехи. сухофрукты Золотая Жменька 250г
103903,масло слив сладкосливочное,Экомилк,True,"ЗАО ""Озерецкий молочный комбинат""",180г,82.5%,,Масло слив Экомилк Сладкосливочное 82.5% 180г Экомилк
242261,кета филе-кусок с/с,Асто,True,"ООО ""АСТО""",200г,,в/у,Кета Асто филе-кусок с/с 200г в/у
115992,спаржа соевая сушеная,Sen Soy,True,Henan Zhiyuan Bean Products Co.,200г,,,Спаржа соевая Sen Soy сушеная 200г
601875,приправа разноцветные жемчужины мельница,Kotanyi,True,"Kotanui GmbH, Австрия",33г,,,Приправа Kotanyi Разноцветные жемчужины 33г мельница
45091,крыло индейки охл,Не Бренд,,,кг,,,Крыло индейки охл. кг
244782,набор пирожных №1,Большевик,True,"ООО ""Венский цех""",450г,,,Набор пирожных Большевик №1 450г
527481,майонез на перепел яйце organic,Mr.Ricco,True,"ОАО ""Казанский жировой комбинат""",400мл,67%,дой-пак,Майонез Mr.Ricco на перепел яйце Organic 67% 400мл дой-пак
593104,сыр гурман легкий,Сармич,True,,1 кг,30%,,Сыр Гурман Легкий Сармич  30% 1 кг
161901,салат фриллис в горшочке,Не Бренд,,,,,шт,"Салат Фриллис в горшочке, шт"
241754,биойогурт обог б/б ананас,Активиа,True,"ООО ""Данон Индустрия""",290г,2%,,Биойогурт обог.б/б Активия 2% 290г ананас
76219,напиток дюшес гост,Старые Добрые Традиции,True,"ООО ""ФКПЧФ Бобимэкс тм""",1.5 л,,пэт,Напиток Старые Добрые Традиции дюшес ГОСТ 1.5 л ПЭТ
290374,кисломол продукт,Агуша,True,"ОАО ""Вимм-Билль-Данн""",207г,3.4%,,Кисломол продукт Агуша Я САМ 3.4% 207г
93333,мед натуральный иссык-кульский горный,Лесные угодья,True,"ООО ""Си-Проджект""",320г,,ст/б,Мед натуральный Лесные Угодья Иссык-Кульский горный 320г ст/б
175140,паштет деревенский с копченостями,Главпродукт,True,"ЗАО ""Орелпродукт""",315г,,ж/б,Паштет Главпродукт деревенский с копченостями 315г ж/б
243067,морская водоросль суши-нори премиум 10 листов,Sen Soy,True,Yan Cheng Hairui Food Co. Ltd.,28г,,,Морская водоросль Sen Soy Суши-Нори Премиум 10 листов 28г
185747,кофе молотый классик,Paulig,True,"ООО ""Паулиг Рус""",500г,,,Кофе молотый Paulig Классик 500г
104745,приправа кумин зира семена,Добрый гном,True,"ООО ""КАРЕ""",10г,,,Приправа Добрый гном Кумин (Зира) семена 10г
120042,карандаши сахарные цветные,Dr.Oetker,True,"""Д-р Оеткер Декор Сп. З.о.о."", Польша",76г,,,Карандаши сахарные Dr.Oetker  цветные 76г
475926,грибы грузди отборные маринованные,Lutik,True,Xiamen Ovisen I/E Co. Ltd,314мл,,,Грибы грузди Lutik отборные маринованные 314мл
598065,сыр тильзитер,Ичалки,True,"ОАО ""Сыродельный Комбинат Ичалковский""",фасовка 300 г,45%,,Сыр Тильзитер Ичалки 45%  фасовка 300 г
245896,какао горячий шоколад со вкусом лесных орехов 10*10,MacChocolate,True,"ООО ""ФЭС ПРОДУКТ""",20г,,,Какао МакШоколад Горячий шоколад со вкусом лесных орехов 10*10 20г
104052,кальмар стружка сол/сушеный,О'КЕЙ,True,"ООО ""Каспий""",80г,,,Кальмар ОКЕЙ стружка сол/сушеный 80г
107535,сыр плавленый сливочный,Hochland,True,"ООО ""ХОХЛАНД РУССЛАНД""",400г,,ванночка,Сыр плавленый HOCHLAND Сливочный 400г ванночка
145002,паштет с брусникой,Царицыно,True,"ОАО ""Фирменный Торговый Дом Царицыно""",250г,,,Паштет с брусникой Царицыно 250г
180041,желтый полосатик,Дальпико,True,"ЗАО ""Рыбокомбинат Донской""",80г,,,Желтый полосатик Дальпико 80г
109035,сметана маложирная,Снеда,True,"ООО ""Молочное дело - Ивня""",500г,15%,,Сметана Снеда маложирная 15% 500г
77812,биопрод кеф обогащ биф бак,Активиа,True,"ООО ""Данон Индустрия""",450г,1%,,Биопрод.кеф. обогащ. биф.бак Активия 1% 450г
134777,котлеты домашние куриные,GurMama,True,"ООО ""Мираторг-Запад""",300г.,,,Котлеты домашние куриные 300г. GurMama
49339,филе грудки индейки зам,Не Бренд,True,,кг,,,"Филе грудки индейки зам. Максума, кг"
241337,шоколад excellence,Lindt,True,Lindt & Sprungli SAS,100г,85%,,Шоколад Lindt Excellence 85% 100г
245195,пастила в шоколаде,Alela,True,"ООО ""Кондитерская фабрика ""Алела""",245г,,,Пастила Алела в  шоколаде 245г
261784,ветчина с/к ди парма,ОХОТНЫЙ РЯД,True,"ЗАО ""Микояновский мясокомбинат""",150 г,,,Ветчина с/к  Ди Парма 150 г Охотный ряд
104806,приправа мускатный орех молотый,Добрый гном,True,"ООО ""КАРЕ""",10г,,,Приправа Добрый гном Мускатный орех молотый 10г
77926,биойогурт обог б/б лесные ягоды,Активиа,True,"ООО ""Данон Индустрия""",290г,2.1%,,Биойогурт обог.б/б Активия 2.1% 290г лесные ягоды
180722,тунец в/м для салатов ключ,Морской Котик,True,И.С.А. Вэлью Ко Лтд,170г,,,Тунец в/м Морской Котик для салатов 170г ключ
242394,маргарин сливочный,Жар-Печка,True,"ЗАО ""Жировой комбинат""",180г,60%,фольга,Маргарин Жар-Печка сливочный 60% 180г фольга
244399,кекс творожный,Аладушкин,True,"ЗАО ""Охтинское""",2шт х 75г,,,Кекс Творожный Аладушкин 2шт х 75г
68611,горчица средне острая ст,Kuhne,True,Carl Kuhne KG (GmbH & Co),250мл,,бан,Горчица KUHNE Средне острая 250мл ст.бан.
43117,фенхель,Не Бренд,,,кг,,,"Фенхель, кг"
167918,шоколад тёмный с криспами граната,Laima,True,"a/s ""LAIMA""",100г,,,Шоколад тёмный Лайма с криспами граната 100г
242554,чай черный аром royal ceylon,Lipton,True,ООО «Юнилевер Русь»,,,25пак,Чай черный Lipton аром. Royal Ceylon 25пак
200211,маслины б/к,Iberica,True,«Olive Line» S. L.,420г,,ж/б,Маслины б/к Iberica 420г ж/б
78055,молоко пастер,36 копеек,True,"ОАО ""Останкинский молочный комбинат""",500г,3.2%,пюр-пак,Молоко пастер 36 копеек 3.2% 500г пюр-пак
141131,конфеты трюфели,Красный октябрь,,"ОАО ""Красный Октябрь""",250г,,,Конфеты Трюфели 250г
242847,торт киевский оригинальный,Господарь,True,"ООО ""Кондитерский мир""",650г,,,"Торт ""Киевский"" Господарь оригинальный 650г"
206150,грузди отборные в маринаде,Lutik,True,Xiamen Ovisen I/E Co. Ltd,200г,,,Грузди отборные в маринаде 200г Lutik
193799,соус для гриля bbq hickory,Santa Maria,True,"АО ""Санта Мария""",505г,,,Соус Santa Maria для гриля BBQ Hickory 505г
186818,приправа смесь 5 видов перцев,Santa-Maria,True,AS Santa Maria,16г,,,Приправа Santa Maria Смесь 5 видов перцев 16г
243322,грибы белые маринованные,Таёжный сбор,True,"ООО ""ТАЙГА-ПРОДУКТ""",500г,,,Грибы белые Таёжный сбор маринованные 500г
366441,напиток энергетический б/а газ,Red Bull,True,Rauch Fruchtsafte GmbH&Co.,0.473л,,ж/б,Напиток Red Bull энергетический б/а газ 0.473л ж/б
243332,продукт био-овсяный лесные ягоды,VELLE,True,"ООО ""ВЕЛЛЕ""",140г,,,Продукт Био-овсяный Velle лесные ягоды 140г
116528,сушки челночек с маком,Не Бренд,,"ООО ""Торговый Дом ""МасКа""",400г,,,Сушки Челночек с маком 400г
200213,каперсы бутоны,Iberica,True,«Olive Line» S. L.,250г,,ст/б,Каперсы бутоны Iberica 250г ст/б
118830,сливки стерилизованные,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",200г,20%,,Сливки Простоквашино стерилизованные 20% 200г
598350,напиток гринми кола газ б/а аром,GreeMe Cola,,"ООО ""Юнайтед Боттлинг Групп""",0.33л,,ж/б,Напиток ГринМи Кола газ б/а аром.0.33л ж/б
114752,плавленый сыр моцарелла слайсы,Galbani,True,Лакталис Истра,300г,,,Плавленый сыр моцарелла Гальбани слайсы 300г
120843,пюре картоф со вкусом мяса т/ст,Доширак,True,,40г,,,Пюре картоф. Доширак со вкусом мяса 40г т/ст
140161,сок яблоко,Мири-Пак,True,"ООО ""Возрождение"", Россия",1л,,ст/б,Сок Мири-Пак яблоко 1л ст/б
243333,продукт био-овсяный брусника,VELLE,True,"ООО ""ВЕЛЛЕ""",140г,,,Продукт Био-овсяный Velle брусника 140г
244882,молсод прод десерт мертингер шоколад,Zott,True,Zott SE & Co.KG,175г,,,Молсод.прод.десерт Zott Мертингер 175г шоколад
241806,продукт творож клубника бисквит,Даниссимо,True,"ООО ""Данон Индустрия""",130г,5.6%,,Продукт творож Даниссимо 5.6%130г клубника+бисквит
168157,пахлава асабиг,Сладости востока,True,"ООО ТПК ""Остров Нефертити""",290г,,,Пахлава Сладости востока Асабиг 290г
93319,bioмюсли пророщ пшеница/фрукты,Everyday,True,"ООО ""Си-Проджект""",250г,,,Bioмюсли Everyday пророщ.пшеница/фрукты 250г
103601,повидло абрикос fp,Абрико,True,,330г,,д/пак,Повидло Абрикос 330г Абрико д/пак FP
174862,перец фаршированный мясом и рисом,Главпродукт,True,"ЗАО ""Орелпродукт""",525г,,,Перец Главпродукт фаршированный мясом и рисом 525г
600521,пицца 4 сыра,Laime,True,ITALPIZZAS.R.L con socio unico,350гр,,,Пицца Laime 4 сыра 350гр
155835,кедровый орех очищенный,О'КЕЙ,True,"ЗАО ""ОРЕХПРОМ""",100г,,,Кедровый орех ОКЕЙ очищенный 100г
157649,йогурт питьевой натуральный,Агуша,True,"ОАО ""Вимм-Билль-Данн""",200г,"3,1%",,"Йогурт питьевой Агуша 3,1% натуральный 200г"
116032,котлеты куриные по киевски,Троекурово,True,"ОАО ""Птицефабрика Калужская"", Россия",450г,,,Котлеты куриные по киевски Троекурово 450г
157160,масса творож изюм пленка,Вкуснотеево,True,"ООО фирма ""Малыш""",180г,20%,,Масса творож. Вкуснотеево Изюм 180г 20% пленка
244184,смесь мучная оладьи старые традиции,Макфа,True,"ОАО ""МАКФА""",1кг,,,Смесь мучная Макфа оладьи Старые традиции 1кг
243416,мороженое грецкий орех,Viva la Crema,True,R&R Ice Cream Deutchland GmbH,1000мл,,,Мороженое Грецкий орех 1000мл Viva La Crema
193831,приправа кориандр/чили мельница,Santa Maria,True,"Santa Maria AB, Швеция",87г,,,Приправа Santa Maria Кориандр/Чили 87г мельница
244364,пюре картоф,Миг-Маг,True,"ООО ""Си-Проджект""",200г,,пакет,Пюре картоф. Миг-Маг 200г пакет
44667,груша фасованная,Не Бренд,,,кг,,,"Груша фасованная, кг"
245057,конфеты choco-bons из молочного шоколада,Kinder,True,Ferrero Ardennes S.A.,125г,,,Конфеты Kinder Choco-Bons из молочного шоколада 125г
123847,кукуруза сладкая,Огородников,True,,340г,,ж/б,Кукуруза сладкая Огородников 340г ж/б
104841,приправа гвоздика целая,Добрый гном,True,"ООО ""КАРЕ""",10г,,,Приправа Добрый гном Гвоздика целая 10г
207713,приправа для гриля и шашлыка с чесноком и травами мельница,Kotanyi,True,Kotanyi GmbH,40г,,,Приправа Kotanyi для гриля и шашлыка с чесноком и травами 40г мельница
242814,сельдь филе-кусочки в масле с дымком,Балтийский берег,True,"ЗАО ""Балтийский Берег""",400г,,,Сельдь филе-кусочки в масле Балтийский Берег с дымком по-царски 400г
245196,пастила с кусочками мармелада,Alela,True,"ООО ""Кондитерская фабрика ""Алела""",370г,,,Пастила Алела с кусочками мармелада 370г
141259,семечки отборные премиум,От Мартина,True,"ООО ""МАРТИН""",100г,,,Семечки От Мартина отборные Премиум 100г
92734,хинкали,Цезарь,True,"ООО ""Морозко""",800г,,,Хинкали Цезарь 800г
294208,ананасы консервированные кольца,Барко,True,"""V&K Pineapple Canning Co.""",580мл,,,"Ананасы консервированные кольца, Барко 580мл"
92447,продукт молокосод сгущенка вареная,Молочная страна,True,"ООО ""Промконсервы""",380г,8.5%,,Продукт молокосод. сгущенка Молочная Страна вареная 8.5% 380г
242614,ветчина детская витаминизированная умка,Клинский МК,True,"ОАО ""Мясокомбинат Клинский""",260г,,,Ветчина Детская витаминизированная УМКА Клинский МК 260г
244976,круассан мини с вареной сгущенкой,7 Days,True,"ООО ""Чипита""",200г,,,Круассан мини 7 Days с вареной сгущенкой 200г
90302,яйцо куриное со,Роскар,True,,,,30шт,Яйцо куриное СО Роскар 30шт
114811,колбаса докторская в/с,Мясной дом БОРОДИНА,True,"ООО ""Мясной дом БОРОДИНА""",500г,,,Колбаса Докторская МД Бородина в/с 500г
180145,фасоль белая в т/с,Зеленый Великан,True,Feger di Gerardo Ferraloly SPA,420г,,,Фасоль белая в т/с Зеленый Великан 420г
