raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
118892,сыр мягкий творожный сливочный,Bon Cream,True,"ООО "" Маслосырбаза ""Энгельсская""",100г,60%,,Сыр мягкий творожный сливочный 60% Bon Cream 100г
154599,ацидофилин,Молочная культура,True,"ООО ""Молочная культура""",500мл,3.4%-4.5%,,Ацидофилин Молочная Культура 3.4%-4.5% 500мл
243749,цикорий растворимый с экстрактом черники,Здравник,True,"ООО ""Гранд НН""",100г,,зип-пакет,Цикорий растворимый Здравник с экстрактом черники 100г зип-пакет
243290,сотэ с телятиной в соусе прованс,Не Бренд,True,"ООО ""ТК ""Мираторг""",600г,,,Сотэ с телятиной в соусе Прованс 600г Vитамин
80862,молоко утп,Большая кружка,True,"ОАО ""Молвест""",1000 г,5%,,Молоко УТП Большая кружка 5% 1000 г
81547,колбаса итальянская с/к,Останкино,True,"ОАО ""ОМПК""",150г,,нарезка,Колбаса Итальянская с/к Останкино нарезка 150г
81148,сок томатный,Фруктовый  сад,True,"ОАО ""ВБД Напитки""",0.95л,100%,,Сок Фруктовый сад томатный 100% 0.95л
81684,мороженое крем-брюле,Талосто,True,"ООО ""Талосто-3000""",70г,,,Мороженое Ля Фам Крем-брюле 70г
145513,путассу стружка сол/сушеная,Сухогруз,True,"ООО""СнэкМастер""",70г,,пак.,"Путассу стружка сол/сушеная, 70г Сухогруз пак."
197312,томаты очищенные резаные в том соке с чесноком,Ciro,True,CONSERVE ITALIA Soc. Coop. Agricola,400г,,ж/б,Томаты очищенные резаные Cirio в том.соке с чесноком 400г ж/б
242331,блинчики с мясом,О'КЕЙ,True,"ООО ""Морозко""",370г,,,Блинчики ОКЕЙ с мясом 370г
243233,фасоль кидни темно-красная,Агроальянс,True,Агроальянс,450г,,,Фасоль Кидни темно-красная 450г Агро-Альянс
80104,цикорий молотый,Русский Цикорий,True,"ЗАО ""Еремеевское""",,,25 пак,Цикорий молотый 25 пак Русский Цикорий
84255,сухари маковые,Звездный,True,"ОАО ""Фацер""",350г,,,Сухари Маковые Звездный 350г
201249,соль каменная п/пакет,Белёк,True,"SOLNE MLYNY, a.s.",1кг,,,Соль Белёк каменная п/пакет 1кг
243223,крупа гречневая экстра элит,Агроальянс,True,Агроальянс,5х100г,,,Крупа гречневая Экстра Элит 5х100г Агро-Альянс
109034,сметана,Благода,True,"ООО ""Молочное дело - Ивня""",200г,15%,стакан,Сметана Благода 15% стакан 200г
147113,янтарная рыбка филе сол/сушеная,О'КЕЙ,True,"ООО ""Каспий""",80г,,,Янтарная рыбка ОКЕЙ филе сол/сушеная 80г
195314,шоколад темный пористый,Воздушный,True,"ООО ""Мон'дэлис Русь""",95г,,,Шоколад Воздушный темный пористый 95г
245197,зефир в шоколаде,Alela,True,"ООО ""Кондитерская фабрика ""Алела""",245г,,,Зефир Алела в шоколаде 245г
128595,колбаса в/к сервелат кремлевский,Мясная империя,True,"ООО ""МПК Мясная империя""",кг,,,Колбаса в/к Сервелат Кремлевский Мясная Империя. кг
180738,паштет из печени и икры трески,Морской Котик,True,"""Вильбо С.А.""",160г,,,Паштет из печени и икры трески Морской Котик 160г
150167,шпроты в/м,Донской Орешек,True,"ООО ""Ранда""",160г,,ж/б,Шпроты в/м Донской Орешек ж/б 160г
594786,томаты сушеные в подс масле,Le Magie dell'Orto,True,Coetsanus Industria Concerve S. p. A.,314мл,,,Томаты сушеные Le Magie dell'Orto в подс.масле 314мл
193787,приправа перец и лайм мельница,Santa-Maria,True,Santa Maria AB,90г,,,Приправа Santa Maria Перец и Лайм 90г мельница
182099,приправа смесь перцев горошком,Kamis,True,McCormick Polska S.A.,15г,,,Приправа Kamis Смесь перцев горошком 15г
110199,каша овсяная быстрого приготовления ассорти,О'КЕЙ,True,,6*40г,,,Каша ОКЕЙ овсяная быстрого приготовления ассорти 6*40г
613254,джем инжир с грецким орехом,Лесные угодья,True,"ООО "" Си - Продукт"", Россия",310г,,ст/б,Джем  инжир с грецким орехом ст/б ЛЕСНЫЕ УГОДЬЯ. 310г
597423,вода пит негаз стол,Святой источник,True,"ООО ""Аква Стар""",5л,,пэт,Вода Святой Источник пит.негаз.стол.5л ПЭТ
43599,бифштекс из говядины охл,Эколь,True,,кг,,в/у,"Бифштекс из говядины охл. в/у Эколь, кг"
159814,торт каппучино,Метрополь,True,"ООО ""Север-Метрополь""",950г,,,"Торт ""Каппучино"" Метрополь 950г"
61041,продукт рассольный парижская буренка,La Vache de Paris,,FLESHARD SA LATÉRITE DU PONT-MORIN,200г,55%,,Продукт рассольный Парижская Буренка 55% 200г
184871,хлеб кефирный в нарезке,Хлебный дом,True,"ОАО ""Фацер""",450г,,,Хлеб Кефирный Хлебный Дом в нарезке 450г
134803,котлеты по-киевски,Мираторг,True,"ООО ""Мираторг-Запад""",405г.,,,Котлеты по-киевски 405г. Мираторг
86179,котлеты капустные,Равиолло,True,,360 г,,,Котлеты  капустные Равиолло 360 г
199623,макароны 10 маккерончини,Barilla,True,Barilla G. & R. Fratelli,500г,,,Макароны Barilla 10 Маккерончини 500г
68138,шоколад кантри,Kinder,True,Ferrero S.p.A.,"23,5г",,,"Шоколад Киндер Кантри 23,5г"
44505,картофель мытый,Не Бренд,,,кг,,,"Картофель мытый, кг"
46267,печень свиная зам,Мясо,,,кг,,,"Печень свиная зам., кг"
84219,кетчуп итальянский,Heinz,True,"ООО ""Петропродукт - Отрадное""",350 г,,дой-пак,Кетчуп Хайнц Итальянский Дой-пак 350 г
200219,маслины с/к,Iberica,True,«Olive Line» S. L.,420г,,ж/б,Маслины с/к Iberica 420г ж/б
244169,напиток к/м с соком for men кофе,Имунеле,True,"ОАО ""Вимм-Билль-Данн""",200г,"1,2%",,"Напиток к/м с соком Имунеле for men 1,2% 200г кофе"
123083,мед натуральный алтайский васильковый,УЛЬЕГРАД,,"ООО ""Алтайский Пчелоцентр""",350г,,ст/б,"Мед натуральный алтайский ""Васильковый"" ст/б 350г"
594868,масло олив e v,Maestro de Oliva,True,«Olive Line» S. L.,1л,,ж/б,Масло олив E.V. Maestro de Oliva 1л ж/б
245478,шоколад молочный фундук/изюм,Alpen Gold,True,"ООО ""Мон'дэлис Русь""",90г,,,Шоколад молочный Alpen Gold фундук/изюм 90г
241708,конфеты шоколадный набор аленка из мол шок,Красный октябрь,,"ОАО ""Красный Октябрь""",185г,,кор,Конфеты шоколадный набор Аленка из мол шок 185г кор
