crawllink,id,level,parentId,pathTitles,productCount,products,title
http://www.okeydostavka.ru/webapp/wcs/stores/servlet/CategoryDisplay?urlRequestType=Base&catalogId=10551&categoryId=25567&pageView=grid&urlLangId=-20&beginIndex=0&langId=-20&top_category=15075&parent_category_rn=24558&storeId=10151,25567,2,24558,Посуда|Бытовая химия и товары для дома|ROOT,75,134337|83505|83504|157381|134336|83532|632887|632888|176584|106876|521568|171177|171165|176178|157363|106878|83408|83536|176036|176020|170811|170846|171181|592615|176013|632852|134343|632849|170817|176604|175998|176075|176029|176024|176004|176007|176179|176021|592616|592617|176074|176002|175994|176026|176174|175995|176087|176092|175982|176077|176090|175987|176079|175989|176091|176027|176176|176177|176005|176078|176032|176034|176015|176022|157362|83615|83621|366232|134357|106838|157368|608749|176198|176052|170601,Кухонная утварь
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D1%81%D0%B5%D1%80%D0%B2%D0%B0%D1%86%D0%B8%D1%8F,16059,0,-1,ROOT,0,,Консервация
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F/%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4,16058,1,16052,Кондитерские изделия|ROOT,103,245455|245454|120552|168260|119937|149090|149089|164155|195132|594411|594412|180081|244629|244630|244631|244632|241524|60008|241337|60007|60005|60006|195673|244016|241430|66076|152916|152923|245465|195353|76481|80152|141134|80151|80158|80154|244015|241984|241986|241983|195320|195308|195314|152927|152926|152925|174988|68138|167912|78406|195052|195048|78439|78440|84415|78422|78403|195413|244130|245480|245478|244337|244336|244338|244018|244017|195181|194960|194962|244893|244898|243676|243676|77177|102811|102913|165605|65796|65791|243675|141248|141254|141253|78432|244689|96738|79886|78427|180349|180072|245457|167918|165607|185578|185571|185573|245508|68134|199604|195410|245453|120401|173260,Шоколад
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B8-%D0%B3%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B0/%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%B2%D0%BE%D0%BB%D0%BE%D1%81/%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B8-%D0%B2%D0%BE%D0%BB%D0%BE%D1%81,16090,2,16074,Средства для волос|Косметика и гигиена|ROOT,72,194189|241579|241596|68944|200594|200604|201184|244202|200570|200575|244201|200585|241657|241656|241658|542716|229321|360170|580050|374326|66975|66985|315228|602254|602245|602255|602249|602250|594204|594060|497943|499858|461178|378884|594208|98059|69794|136949|69507|594054|254647|594813|594826|420455|269047|69562|365559|296291|537911|578768|440380|252624|523737|594052|332712|179853|179859|74550|74551|73940|74127|353290|420462|280511|594182|360347|329435|491400|594440|305192|582187|523889,Средства для укладки волос
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F/%D0%BA%D0%BE%D0%BD%D1%84%D0%B5%D1%82%D1%8B,16054,1,16052,Кондитерские изделия|ROOT,107,594791|139918|139917|75599|131030|200730|114230|114219|114215|242988|114222|80209|141128|141129|104389|106217|185597|185594|186705|245287|245057|244406|244407|195061|195063|173222|244665|74293|74290|245559|245056|120529|244654|66267|242640|105349|105348|105358|141268|195217|195219|167886|167879|167880|243658|243657|76498|243656|78490|241437|141130|78494|102801|139926|139923|241661|195224|141266|241988|141124|241572|241571|241573|241574|78506|141238|142113|76954|76490|243655|78510|68554|68556|141131|245558|197044|245566|79884|79882|78387|92098|92097|92094|242642|167905|244896|241708|76950|66263|201123|241732|174892|241982|79912|78492|80210|245567|168263|102876|180838|125659|241733|241734|165613|165610|165611|78449,Конфеты
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F/%D1%82%D0%BE%D1%80%D1%82%D1%8B-%D0%B8-%D0%BF%D0%B8%D1%80%D0%BE%D0%B6%D0%BD%D1%8B%D0%B5-%D1%81%D0%B2%D0%B5%D0%B6%D0%B8%D0%B5,16057,1,16052,Кондитерские изделия|ROOT,72,159812|175931|113330|112991|242960|113333|113315|244782|95183|242462|95187|151036|244790|242900|146074|242941|243309|242902|243312|120912|242957|112951|243174|243172|243867|112994|112996|127263|109159|446333|159816|112979|243311|244080|155865|244079|175932|156779|242954|243864|127271|159814|176466|242847|242897|242947|113337|242942|243862|244218|242952|176464|242901|244084|243868|244075|244076|155861|242848|242943|111619|242940|112955|244081|243173|111620|109179|175929|242944|146068|243171|242953,Торты и пирожные свежие
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B8-%D0%B3%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B0/%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D1%8B-%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5,22051,1,16068,Косметика и гигиена|ROOT,0,,Наборы косметические
http://www.okeydostavka.ru/msk/%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B0%D1%82%D1%8B-%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5/%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%BD%D0%B8--%D0%B2%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BA%D0%B8--%D1%85%D0%B8%D0%BD%D0%BA%D0%B0%D0%BB%D0%B8,16051,2,15107,Полуфабрикаты замороженные|Замороженные продукты|ROOT,65,242980|242366|242368|242367|161894|243734|242351|102255|161898|602327|86179|86168|86391|602325|114206|52801|92676|134593|114191|242981|86166|86174|242982|244909|242333|244394|114194|113966|242970|92739|242352|52097|92640|242162|244856|243732|242322|81572|81571|114217|242353|243733|122379|242985|242343|86406|43965|242092|153949|153944|153941|92710|92638|602321|602324|602336|602332|242805|242806|114188|242336|614788|92734|602335|602334,"Пельмени, вареники, хинкали"
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F/%D0%B6%D0%B5%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BA%D0%B8--%D0%BE%D1%81%D0%B2%D0%B5%D0%B6%D0%B0%D1%8E%D1%89%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BD%D1%84%D0%B5%D1%82%D1%8B,16053,1,16052,Кондитерские изделия|ROOT,21,243125|243126|243127|244328|68382|74819|68098|141137|68202|74981|68208|68081|241550|175970|244784|75014|68090|68089|175981|196610|66266,"Жевательные резинки, освежающие конфеты"
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F,16052,0,-1,ROOT,0,,Кондитерские изделия
http://www.okeydostavka.ru/msk/%D0%BE%D0%B2%D0%BE%D1%89%D0%B8--%D1%84%D1%80%D1%83%D0%BA%D1%82%D1%8B--%D0%B3%D1%80%D0%B8%D0%B1%D1%8B--%D1%8F%D0%B3%D0%BE%D0%B4%D1%8B/%D1%81%D0%BE%D0%BB%D0%B5%D0%BD%D1%8B%D0%B5-%D0%B8-%D0%BA%D0%B2%D0%B0%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5-%D0%BE%D0%B2%D0%BE%D1%89%D0%B8-%D0%B8-%D0%BF%D0%BB%D0%BE%D0%B4%D1%8B--20,16587,1,16568,"Овощи, фрукты, грибы, ягоды|ROOT",35,128644|129292|45886|128638|129108|129296|129270|128642|44404|129118|129298|128621|128628|128616|128635|128636|45561|129278|129120|129105|129257|43129|129244|129297|31907|44587|129243|129106|52137|128624|52126|129256|594404|129240|41970,Соленые и квашенные овощи и плоды
http://www.okeydostavka.ru/msk/%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B/%D0%BE%D0%B2%D0%BE%D1%89%D0%B8--%D1%8F%D0%B3%D0%BE%D0%B4%D1%8B--%D0%B3%D1%80%D0%B8%D0%B1%D1%8B-%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5,15106,1,15104,Замороженные продукты|ROOT,57,125806|607798|92674|92805|607804|102931|243210|92781|125797|92804|92737|125831|242582|125824|243282|92779|92801|183364|92780|125505|243212|130663|130670|603753|92741|183367|242360|242580|242363|92777|242364|242579|92772|243285|125828|242585|125825|516959|132922|241270|125827|125491|125800|153564|92682|125502|125833|242586|125832|92776|92680|125494|125497|242340|102936|125496|125798,"Овощи, ягоды, грибы замороженные"
http://www.okeydostavka.ru/msk/%D0%BE%D0%B2%D0%BE%D1%89%D0%B8--%D1%84%D1%80%D1%83%D0%BA%D1%82%D1%8B--%D0%B3%D1%80%D0%B8%D0%B1%D1%8B--%D1%8F%D0%B3%D0%BE%D0%B4%D1%8B/%D0%BE%D1%80%D0%B5%D1%85%D0%B8--%D1%81%D1%83%D1%85%D0%BE%D1%84%D1%80%D1%83%D0%BA%D1%82%D1%8B--20,16585,1,16568,"Овощи, фрукты, грибы, ягоды|ROOT",88,132934|181993|181990|132938|244094|131570|132937|156757|108938|95323|108926|108968|596234|76606|244093|156755|108917|108920|108911|108909|108916|132929|155835|132950|241704|156759|131578|132926|108670|76601|241716|76600|594138|155837|156753|155826|155830|114379|156752|132951|156758|108964|156756|113631|113635|134601|147458|134602|147457|131569|132931|131566|116352|116343|116346|116127|141258|141259|141262|76604|156772|156761|76587|112278|112276|132947|132933|132945|132939|131571|156751|241706|131571|156751|241706|132942|131573|155832|155831|132927|156754|132952|108963|76599|76596|155834|131584|155836,"Орехи, сухофрукты"
http://www.okeydostavka.ru/msk/%D1%80%D1%8B%D0%B1%D0%B0--%D0%BC%D0%BE%D1%80%D0%B5%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B-%D0%B8-%D0%B8%D0%BA%D1%80%D0%B0--20/%D1%80%D1%8B%D0%B1%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F,16584,1,16572,"Рыба, морепродукты и икра|ROOT",0,,Рыбная гастрономия
http://www.okeydostavka.ru/msk/%D1%80%D1%8B%D0%B1%D0%B0--%D0%BC%D0%BE%D1%80%D0%B5%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B-%D0%B8-%D0%B8%D0%BA%D1%80%D0%B0--20/%D1%80%D1%8B%D0%B1%D0%B0-%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-%D0%B8-%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F,16583,1,16572,"Рыба, морепродукты и икра|ROOT",46,131331|131325|44339|43556|43559|58443|57943|43296|48029|48140|42605|58357|143704|75026|75019|131320|131319|58309|131321|51862|131803|136551|131313|52360|615541|168575|168628|604152|58721|53923|46303|46735|131815|131314|131962|131813|41792|51080|45117|131814|114507|42609|602158|46726|42947|92647,Рыба охлажденная и замороженная
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B8-%D0%B3%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B0/%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D1%8B-%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5/%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D1%8B-%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5,22053,2,22051,Наборы косметические|Косметика и гигиена|ROOT,2,196697|196714,Наборы косметические мужские
http://www.okeydostavka.ru/msk/%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85/%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B-%D0%B4%D0%BB%D1%8F-%D1%80%D1%8B%D0%B1%D0%BE%D0%BA,16628,1,16622,Товары для животных|ROOT,17,140599|140584|140583|140220|140592|140585|484991|594768|229926|316608|141114|141119|140528|141112|180787|180786|140591,Товары для рыбок
